Year,Award,Winner,Name,Film
1987,ACTOR IN A SUPPORTING ROLE,1,SEAN CONNERY,THE UNTOUCHABLES
2008,ACTOR IN A LEADING ROLE,1,SEAN PENN,MILK
2003,ACTOR IN A LEADING ROLE,1,SEAN PENN,MYSTIC RIVER
2001,ACTOR IN A LEADING ROLE,0,SEAN PENN,I AM SAM
1999,ACTOR IN A LEADING ROLE,0,SEAN PENN,SWEET AND LOWDOWN
1995,ACTOR IN A LEADING ROLE,0,SEAN PENN,DEAD MAN WALKING
1957,ACTOR IN A SUPPORTING ROLE,0,SESSUE HAYAKAWA,THE BRIDGE ON THE RIVER KWAI
1968,ACTOR IN A SUPPORTING ROLE,0,SEYMOUR CASSEL,FACES
1995,ACTRESS IN A LEADING ROLE,0,SHARON STONE,CASINO
1972,ACTRESS IN A SUPPORTING ROLE,0,SHELLEY WINTERS,THE POSEIDON ADVENTURE
1965,ACTRESS IN A SUPPORTING ROLE,1,SHELLEY WINTERS,A PATCH OF BLUE
1959,ACTRESS IN A SUPPORTING ROLE,1,SHELLEY WINTERS,THE DIARY OF ANNE FRANK
1951,ACTRESS IN A LEADING ROLE,0,SHELLEY WINTERS,A PLACE IN THE SUN
1952,ACTRESS IN A LEADING ROLE,1,SHIRLEY BOOTH,"COME BACK, LITTLE SHEBA"
1960,ACTRESS IN A SUPPORTING ROLE,1,SHIRLEY JONES,ELMER GANTRY
1962,ACTRESS IN A SUPPORTING ROLE,0,SHIRLEY KNIGHT,SWEET BIRD OF YOUTH
1960,ACTRESS IN A SUPPORTING ROLE,0,SHIRLEY KNIGHT,THE DARK AT THE TOP OF THE STAIRS
1983,ACTRESS IN A LEADING ROLE,1,SHIRLEY MACLAINE,TERMS OF ENDEARMENT
1977,ACTRESS IN A LEADING ROLE,0,SHIRLEY MACLAINE,THE TURNING POINT
1963,ACTRESS IN A LEADING ROLE,0,SHIRLEY MACLAINE,IRMA LA DOUCE
1960,ACTRESS IN A LEADING ROLE,0,SHIRLEY MACLAINE,THE APARTMENT
1958,ACTRESS IN A LEADING ROLE,0,SHIRLEY MACLAINE,SOME CAME RUNNING
2003,ACTRESS IN A SUPPORTING ROLE,0,SHOHREH AGHDASHLOO,HOUSE OF SAND AND FOG
1963,ACTOR IN A LEADING ROLE,1,SIDNEY POITIER,LILIES OF THE FIELD
1958,ACTOR IN A LEADING ROLE,0,SIDNEY POITIER,THE DEFIANT ONES
1988,ACTRESS IN A SUPPORTING ROLE,0,SIGOURNEY WEAVER,WORKING GIRL
1988,ACTRESS IN A LEADING ROLE,0,SIGOURNEY WEAVER,GORILLAS IN THE MIST
1986,ACTRESS IN A LEADING ROLE,0,SIGOURNEY WEAVER,ALIENS
1965,ACTRESS IN A LEADING ROLE,0,SIMONE SIGNORET,SHIP OF FOOLS
1959,ACTRESS IN A LEADING ROLE,1,SIMONE SIGNORET,ROOM AT THE TOP
1956,ACTOR IN A LEADING ROLE,0,SIR LAURENCE OLIVIER,RICHARD III
2001,ACTRESS IN A LEADING ROLE,0,SISSY SPACEK,IN THE BEDROOM
1986,ACTRESS IN A LEADING ROLE,0,SISSY SPACEK,CRIMES OF THE HEART
1984,ACTRESS IN A LEADING ROLE,0,SISSY SPACEK,THE RIVER
1982,ACTRESS IN A LEADING ROLE,0,SISSY SPACEK,MISSING
1980,ACTRESS IN A LEADING ROLE,1,SISSY SPACEK,COAL MINER'S DAUGHTER
1976,ACTRESS IN A LEADING ROLE,0,SISSY SPACEK,CARRIE
1968,ACTRESS IN A SUPPORTING ROLE,0,SONDRA LOCKE,THE HEART IS A LONELY HUNTER
1964,ACTRESS IN A LEADING ROLE,0,SOPHIA LOREN,MARRIAGE ITALIAN STYLE
1961,ACTRESS IN A LEADING ROLE,1,SOPHIA LOREN,TWO WOMEN
2004,ACTRESS IN A SUPPORTING ROLE,0,SOPHIE OKONEDO,HOTEL RWANDA
1967,ACTOR IN A LEADING ROLE,0,SPENCER TRACY,GUESS WHO'S COMING TO DINNER
1961,ACTOR IN A LEADING ROLE,0,SPENCER TRACY,JUDGMENT AT NUREMBERG
1960,ACTOR IN A LEADING ROLE,0,SPENCER TRACY,INHERIT THE WIND
1958,ACTOR IN A LEADING ROLE,0,SPENCER TRACY,THE OLD MAN AND THE SEA
1955,ACTOR IN A LEADING ROLE,0,SPENCER TRACY,BAD DAY AT BLACK ROCK
1950,ACTOR IN A LEADING ROLE,0,SPENCER TRACY,FATHER OF THE BRIDE
1938,ACTOR IN A LEADING ROLE,1,SPENCER TRACY,BOYS TOWN
1937,ACTOR IN A LEADING ROLE,1,SPENCER TRACY,CAPTAINS COURAGEOUS
1936,ACTOR IN A LEADING ROLE,0,SPENCER TRACY,SAN FRANCISCO
1938,ACTRESS IN A SUPPORTING ROLE,0,SPRING BYINGTON,YOU CAN'T TAKE IT WITH YOU
1964,ACTOR IN A SUPPORTING ROLE,0,STANLEY HOLLOWAY,MY FAIR LADY
2009,ACTOR IN A SUPPORTING ROLE,0,STANLEY TUCCI,THE LOVELY BONES
1992,ACTOR IN A LEADING ROLE,0,STEPHEN REA,THE CRYING GAME
2014,ACTOR IN A LEADING ROLE,0,STEVE CARELL,FOXCATCHER
1966,ACTOR IN A LEADING ROLE,0,STEVE MCQUEEN,THE SAND PEBBLES
1993,ACTRESS IN A LEADING ROLE,0,STOCKARD CHANNING,SIX DEGREES OF SEPARATION
1936,ACTOR IN A SUPPORTING ROLE,0,STUART ERWIN,PIGSKIN PARADE
1961,ACTOR IN A LEADING ROLE,0,STUART WHITMAN,THE MARK
1958,ACTRESS IN A LEADING ROLE,1,SUSAN HAYWARD,I WANT TO LIVE!
1955,ACTRESS IN A LEADING ROLE,0,SUSAN HAYWARD,I'LL CRY TOMORROW
1952,ACTRESS IN A LEADING ROLE,0,SUSAN HAYWARD,WITH A SONG IN MY HEART
1949,ACTRESS IN A LEADING ROLE,0,SUSAN HAYWARD,MY FOOLISH HEART
1947,ACTRESS IN A LEADING ROLE,0,SUSAN HAYWARD,SMASH-UP--THE STORY OF A WOMAN
1959,ACTRESS IN A SUPPORTING ROLE,0,SUSAN KOHNER,IMITATION OF LIFE
1942,ACTRESS IN A SUPPORTING ROLE,0,SUSAN PETERS,RANDOM HARVEST
1995,ACTRESS IN A LEADING ROLE,1,SUSAN SARANDON,DEAD MAN WALKING
1994,ACTRESS IN A LEADING ROLE,0,SUSAN SARANDON,THE CLIENT
1992,ACTRESS IN A LEADING ROLE,0,SUSAN SARANDON,LORENZO'S OIL
1991,ACTRESS IN A LEADING ROLE,0,SUSAN SARANDON,THELMA & LOUISE
1981,ACTRESS IN A LEADING ROLE,0,SUSAN SARANDON,ATLANTIC CITY
1972,ACTRESS IN A SUPPORTING ROLE,0,SUSAN TYRRELL,FAT CITY
1969,ACTRESS IN A SUPPORTING ROLE,0,SUSANNAH YORK,"THEY SHOOT HORSES, DON'T THEY?"
1941,ACTOR IN A SUPPORTING ROLE,0,SYDNEY GREENSTREET,THE MALTESE FALCON
2015,ACTOR IN A SUPPORTING ROLE,0,SYLVESTER STALLONE,CREED
1976,ACTOR IN A LEADING ROLE,0,SYLVESTER STALLONE,ROCKY
1975,ACTRESS IN A SUPPORTING ROLE,0,SYLVIA MILES,"FAREWELL, MY LOVELY"
1969,ACTRESS IN A SUPPORTING ROLE,0,SYLVIA MILES,MIDNIGHT COWBOY
1973,ACTRESS IN A SUPPORTING ROLE,0,SYLVIA SIDNEY,"SUMMER WISHES, WINTER DREAMS"
1976,ACTRESS IN A LEADING ROLE,0,TALIA SHIRE,ROCKY
1974,ACTRESS IN A SUPPORTING ROLE,0,TALIA SHIRE,THE GODFATHER PART II
2008,ACTRESS IN A SUPPORTING ROLE,0,TARAJI P. HENSON,THE CURIOUS CASE OF BENJAMIN BUTTON
1973,ACTRESS IN A SUPPORTING ROLE,1,TATUM O'NEAL,PAPER MOON
1962,ACTOR IN A SUPPORTING ROLE,0,TELLY SAVALAS,BIRDMAN OF ALCATRAZ
1962,ACTOR IN A SUPPORTING ROLE,0,TERENCE STAMP,BILLY BUDD
1942,ACTRESS IN A LEADING ROLE,0,TERESA WRIGHT,THE PRIDE OF THE YANKEES
1942,ACTRESS IN A SUPPORTING ROLE,1,TERESA WRIGHT,MRS. MINIVER
1941,ACTRESS IN A SUPPORTING ROLE,0,TERESA WRIGHT,THE LITTLE FOXES
1982,ACTRESS IN A SUPPORTING ROLE,0,TERI GARR,TOOTSIE
2005,ACTOR IN A LEADING ROLE,0,TERRENCE HOWARD,HUSTLE & FLOW
1952,ACTRESS IN A SUPPORTING ROLE,0,TERRY MOORE,"COME BACK, LITTLE SHEBA"
1986,ACTRESS IN A SUPPORTING ROLE,0,TESS HARPER,CRIMES OF THE HEART
1962,ACTRESS IN A SUPPORTING ROLE,0,THELMA RITTER,BIRDMAN OF ALCATRAZ
1959,ACTRESS IN A SUPPORTING ROLE,0,THELMA RITTER,PILLOW TALK
1953,ACTRESS IN A SUPPORTING ROLE,0,THELMA RITTER,PICKUP ON SOUTH STREET
1952,ACTRESS IN A SUPPORTING ROLE,0,THELMA RITTER,WITH A SONG IN MY HEART
1951,ACTRESS IN A SUPPORTING ROLE,0,THELMA RITTER,THE MATING SEASON
1950,ACTRESS IN A SUPPORTING ROLE,0,THELMA RITTER,ALL ABOUT EVE
1958,ACTOR IN A SUPPORTING ROLE,0,THEODORE BIKEL,THE DEFIANT ONES
1947,ACTOR IN A SUPPORTING ROLE,0,THOMAS GOMEZ,RIDE THE PINK HORSE
2004,ACTOR IN A SUPPORTING ROLE,0,THOMAS HADEN CHURCH,SIDEWAYS
1939,ACTOR IN A SUPPORTING ROLE,1,THOMAS MITCHELL,STAGECOACH
1937,ACTOR IN A SUPPORTING ROLE,0,THOMAS MITCHELL,THE HURRICANE
2007,ACTRESS IN A SUPPORTING ROLE,1,TILDA SWINTON,MICHAEL CLAYTON
2003,ACTOR IN A SUPPORTING ROLE,1,TIM ROBBINS,MYSTIC RIVER
1995,ACTOR IN A SUPPORTING ROLE,0,TIM ROTH,ROB ROY
1980,ACTOR IN A SUPPORTING ROLE,1,TIMOTHY HUTTON,ORDINARY PEOPLE
1986,ACTOR IN A SUPPORTING ROLE,0,TOM BERENGER,PLATOON
1983,ACTOR IN A LEADING ROLE,0,TOM CONTI,"REUBEN, REUBEN"
1983,ACTOR IN A LEADING ROLE,0,TOM COURTENAY,THE DRESSER
1965,ACTOR IN A SUPPORTING ROLE,0,TOM COURTENAY,DOCTOR ZHIVAGO
1999,ACTOR IN A SUPPORTING ROLE,0,TOM CRUISE,MAGNOLIA
1996,ACTOR IN A LEADING ROLE,0,TOM CRUISE,JERRY MAGUIRE
1989,ACTOR IN A LEADING ROLE,0,TOM CRUISE,BORN ON THE FOURTH OF JULY
2000,ACTOR IN A LEADING ROLE,0,TOM HANKS,CAST AWAY
1998,ACTOR IN A LEADING ROLE,0,TOM HANKS,SAVING PRIVATE RYAN
1994,ACTOR IN A LEADING ROLE,1,TOM HANKS,FORREST GUMP
1993,ACTOR IN A LEADING ROLE,1,TOM HANKS,PHILADELPHIA
1988,ACTOR IN A LEADING ROLE,0,TOM HANKS,BIG
2015,ACTOR IN A SUPPORTING ROLE,0,TOM HARDY,THE REVENANT
1984,ACTOR IN A LEADING ROLE,0,TOM HULCE,AMADEUS
1954,ACTOR IN A SUPPORTING ROLE,0,TOM TULLY,THE CAINE MUTINY
2007,ACTOR IN A SUPPORTING ROLE,0,TOM WILKINSON,MICHAEL CLAYTON
2001,ACTOR IN A LEADING ROLE,0,TOM WILKINSON,IN THE BEDROOM
2012,ACTOR IN A SUPPORTING ROLE,0,TOMMY LEE JONES,LINCOLN
2007,ACTOR IN A LEADING ROLE,0,TOMMY LEE JONES,IN THE VALLEY OF ELAH
1993,ACTOR IN A SUPPORTING ROLE,1,TOMMY LEE JONES,THE FUGITIVE
1991,ACTOR IN A SUPPORTING ROLE,0,TOMMY LEE JONES,JFK
1999,ACTRESS IN A SUPPORTING ROLE,0,TONI COLLETTE,THE SIXTH SENSE
1958,ACTOR IN A LEADING ROLE,0,TONY CURTIS,THE DEFIANT ONES
1971,ACTOR IN A LEADING ROLE,0,TOPOL,FIDDLER ON THE ROOF
1960,ACTOR IN A LEADING ROLE,0,TREVOR HOWARD,SONS AND LOVERS
1977,ACTRESS IN A SUPPORTING ROLE,0,TUESDAY WELD,LOOKING FOR MR. GOODBAR
1994,ACTRESS IN A SUPPORTING ROLE,0,UMA THURMAN,PULP FICTION
1961,ACTRESS IN A SUPPORTING ROLE,0,UNA MERKEL,SUMMER AND SMOKE
1974,ACTRESS IN A SUPPORTING ROLE,0,VALENTINA CORTESE,DAY FOR NIGHT
1974,ACTRESS IN A LEADING ROLE,0,VALERIE PERRINE,LENNY
1942,ACTOR IN A SUPPORTING ROLE,1,VAN HEFLIN,JOHNNY EAGER
1992,ACTRESS IN A SUPPORTING ROLE,0,VANESSA REDGRAVE,HOWARDS END
1984,ACTRESS IN A LEADING ROLE,0,VANESSA REDGRAVE,THE BOSTONIANS
1977,ACTRESS IN A SUPPORTING ROLE,1,VANESSA REDGRAVE,JULIA
1971,ACTRESS IN A LEADING ROLE,0,VANESSA REDGRAVE,"MARY, QUEEN OF SCOTS"
1968,ACTRESS IN A LEADING ROLE,0,VANESSA REDGRAVE,ISADORA
1966,ACTRESS IN A LEADING ROLE,0,VANESSA REDGRAVE,MORGAN!
2009,ACTRESS IN A SUPPORTING ROLE,0,VERA FARMIGA,UP IN THE AIR
1962,ACTOR IN A SUPPORTING ROLE,0,VICTOR BUONO,WHAT EVER HAPPENED TO BABY JANE?
1952,ACTOR IN A SUPPORTING ROLE,0,VICTOR MCLAGLEN,THE QUIET MAN
1935,ACTOR IN A LEADING ROLE,1,VICTOR MCLAGLEN,THE INFORMER
2016,ACTOR IN A LEADING ROLE,0,VIGGO MORTENSEN,CAPTAIN FANTASTIC
2007,ACTOR IN A LEADING ROLE,0,VIGGO MORTENSEN,EASTERN PROMISES
1987,ACTOR IN A SUPPORTING ROLE,0,VINCENT GARDENIA,MOONSTRUCK
1973,ACTOR IN A SUPPORTING ROLE,0,VINCENT GARDENIA,BANG THE DRUM SLOWLY
2016,ACTRESS IN A SUPPORTING ROLE,0,VIOLA DAVIS,FENCES
2011,ACTRESS IN A LEADING ROLE,0,VIOLA DAVIS,THE HELP
2008,ACTRESS IN A SUPPORTING ROLE,0,VIOLA DAVIS,DOUBT
2004,ACTRESS IN A SUPPORTING ROLE,0,VIRGINIA MADSEN,SIDEWAYS
1957,ACTOR IN A SUPPORTING ROLE,0,VITTORIO DE SICA,A FAREWELL TO ARMS
1951,ACTRESS IN A LEADING ROLE,1,VIVIEN LEIGH,A STREETCAR NAMED DESIRE
1939,ACTRESS IN A LEADING ROLE,1,VIVIEN LEIGH,GONE WITH THE WIND
1966,ACTRESS IN A SUPPORTING ROLE,0,VIVIEN MERCHANT,ALFIE
1932,ACTOR IN A LEADING ROLE,1,WALLACE BEERY,THE CHAMP
1930,ACTOR IN A LEADING ROLE,0,WALLACE BEERY,THE BIG HOUSE
1941,ACTOR IN A SUPPORTING ROLE,0,WALTER BRENNAN,SERGEANT YORK
1940,ACTOR IN A SUPPORTING ROLE,1,WALTER BRENNAN,THE WESTERNER
1938,ACTOR IN A SUPPORTING ROLE,1,WALTER BRENNAN,KENTUCKY
1936,ACTOR IN A SUPPORTING ROLE,1,WALTER BRENNAN,COME AND GET IT
1948,ACTOR IN A SUPPORTING ROLE,1,WALTER HUSTON,THE TREASURE OF THE SIERRA MADRE
1942,ACTOR IN A SUPPORTING ROLE,0,WALTER HUSTON,YANKEE DOODLE DANDY
1941,ACTOR IN A LEADING ROLE,0,WALTER HUSTON,ALL THAT MONEY CAN BUY
1936,ACTOR IN A LEADING ROLE,0,WALTER HUSTON,DODSWORTH
1975,ACTOR IN A LEADING ROLE,0,WALTER MATTHAU,THE SUNSHINE BOYS
1971,ACTOR IN A LEADING ROLE,0,WALTER MATTHAU,KOTCH
1966,ACTOR IN A SUPPORTING ROLE,1,WALTER MATTHAU,THE FORTUNE COOKIE
1943,ACTOR IN A LEADING ROLE,0,WALTER PIDGEON,MADAME CURIE
1942,ACTOR IN A LEADING ROLE,0,WALTER PIDGEON,MRS. MINIVER
1929,ACTOR IN A LEADING ROLE,1,WARNER BAXTER,IN OLD ARIZONA
1991,ACTOR IN A LEADING ROLE,0,WARREN BEATTY,BUGSY
1981,ACTOR IN A LEADING ROLE,0,WARREN BEATTY,REDS
1978,ACTOR IN A LEADING ROLE,0,WARREN BEATTY,HEAVEN CAN WAIT
1967,ACTOR IN A LEADING ROLE,0,WARREN BEATTY,BONNIE AND CLYDE
1966,ACTRESS IN A SUPPORTING ROLE,0,WENDY HILLER,A MAN FOR ALL SEASONS
1958,ACTRESS IN A SUPPORTING ROLE,1,WENDY HILLER,SEPARATE TABLES
1938,ACTRESS IN A LEADING ROLE,0,WENDY HILLER,PYGMALION
1990,ACTRESS IN A SUPPORTING ROLE,1,WHOOPI GOLDBERG,GHOST
1985,ACTRESS IN A LEADING ROLE,0,WHOOPI GOLDBERG,THE COLOR PURPLE
2006,ACTOR IN A LEADING ROLE,0,WILL SMITH,THE PURSUIT OF HAPPYNESS
2001,ACTOR IN A LEADING ROLE,0,WILL SMITH,ALI
2000,ACTOR IN A SUPPORTING ROLE,0,WILLEM DAFOE,SHADOW OF THE VAMPIRE
1986,ACTOR IN A SUPPORTING ROLE,0,WILLEM DAFOE,PLATOON
1942,ACTOR IN A SUPPORTING ROLE,0,WILLIAM BENDIX,WAKE ISLAND
1946,ACTOR IN A SUPPORTING ROLE,0,WILLIAM DEMAREST,THE JOLSON STORY
1940,ACTOR IN A SUPPORTING ROLE,0,WILLIAM GARGAN,THEY KNEW WHAT THEY WANTED
1996,ACTOR IN A SUPPORTING ROLE,0,WILLIAM H. MACY,FARGO
1985,ACTOR IN A SUPPORTING ROLE,0,WILLIAM HICKEY,PRIZZI'S HONOR
1976,ACTOR IN A LEADING ROLE,0,WILLIAM HOLDEN,NETWORK
1953,ACTOR IN A LEADING ROLE,1,WILLIAM HOLDEN,STALAG 17
1950,ACTOR IN A LEADING ROLE,0,WILLIAM HOLDEN,SUNSET BLVD.
2005,ACTOR IN A SUPPORTING ROLE,0,WILLIAM HURT,A HISTORY OF VIOLENCE
1987,ACTOR IN A LEADING ROLE,0,WILLIAM HURT,BROADCAST NEWS
1986,ACTOR IN A LEADING ROLE,0,WILLIAM HURT,CHILDREN OF A LESSER GOD
1985,ACTOR IN A LEADING ROLE,1,WILLIAM HURT,KISS OF THE SPIDER WOMAN
1947,ACTOR IN A LEADING ROLE,0,WILLIAM POWELL,LIFE WITH FATHER
1936,ACTOR IN A LEADING ROLE,0,WILLIAM POWELL,MY MAN GODFREY
1934,ACTOR IN A LEADING ROLE,0,WILLIAM POWELL,THE THIN MAN
1994,ACTRESS IN A LEADING ROLE,0,WINONA RYDER,LITTLE WOMEN
1993,ACTRESS IN A SUPPORTING ROLE,0,WINONA RYDER,THE AGE OF INNOCENCE
1977,ACTOR IN A LEADING ROLE,0,WOODY ALLEN,ANNIE HALL
2009,ACTOR IN A SUPPORTING ROLE,0,WOODY HARRELSON,THE MESSENGER
1996,ACTOR IN A LEADING ROLE,0,WOODY HARRELSON,THE PEOPLE VS. LARRY FLYNT
1956,ACTOR IN A LEADING ROLE,1,YUL BRYNNER,THE KING AND I
